description;popularity;poster_path;vote_average;vote_count;tmdb_id;movieId;title;year;Adventure;Animation;Children;Comedy;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Mystery;Sci-Fi;IMAX;Documentary;War;Musical;Western;Film-Noir;tmdbId;actor1;actor2;actor3;actor4;actor5;director1
"In the year 2019, a plague has transformed almost every human into a vampire. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vampires on a way to save humankind.";24.549;/fFnquVw5gox0DSwqFtdc7hsbr8q.jpg;6.283;1647.0;19901.0;73268.0;Daybreakers;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19901.0;Ethan Hawke;Sam Neill;Willem Dafoe;Claudia Karvan;Isabel Lucas;Michael Spierig
When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.;36.843;/i86hMi5iEF3WnYLCaGHdT5FPdYg.jpg;6.869;1760.0;25195.0;73319.0;Leap Year;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25195.0;Amy Adams;Matthew Goode;John Lithgow;Flaminia Cinque;Tony Rohr;Anand Tucker
A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.;41.843;/1H1y9ZiqNFaLgQiRDDZLA55PviW.jpg;6.776;5256.0;20504.0;73321.0;Book of Eli, The;2010;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20504.0;Denzel Washington;Gary Oldman;Mila Kunis;Ray Stevenson;Jennifer Beals;Albert Hughes
When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.;144.737;/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg;5.803;2192.0;22894.0;73929.0;Legion;2010;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22894.0;Paul Bettany;Dennis Quaid;Lucas Black;Kate Walsh;Tyrese Gibson;Scott Stewart
Dante's Hell Animated is a real and truthful epic animation film that embarks Dante Alighieri's journey through the first part of the afterlife, Hell. It is a compelling four-quadrant film presented circle by circle in a chronological descent to the center of Hell, and to the exit into Purgatory. Dante's Hell Animated comes in two versions, one recited in primitive Italian in Dante's own words, and another narrated in English better understanding in this non-original language. Dante is guided by his hero Virgil through each circle of Hell and their subdivisions until they reach the center of the Earth and escaped to the other hemisphere into Purgatory. It features over 50 original color illustrations from the upcoming Dante's Hell comic book and magazine series, put together in a series of animation clips that will delight young and mature audiences.;1.406;;8.0;3.0;31156.0;74115.0;Dante's Inferno Animated;2010;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31156.0;Jeff Conaway;Eric Roberts;Vincent Spano;Hélène Cardona;Nia Peeples;Boris Acosta
Working-class father John Crowley is finally on the fast track to corporate success when his two young children are diagnosed with Pompe disease—a condition that prevents the body from breaking down sugar. With the support of his wife, John ditches his career and teams with unconventional specialist, Dr. Robert Stonehill to found a bio-tech company and develop a cure in time to save the lives of his children. As Dr. Stonehill works tirelessly to prove the theories that made him the black sheep of the medical community, a powerful bond is forged between the two unlikely allies.;9.607;/3KoxLZ2yeGSIHgQdE0PUU8Z6J7w.jpg;6.2;258.0;27569.0;74131.0;Extraordinary Measures;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27569.0;Brendan Fraser;Harrison Ford;Keri Russell;Courtney B. Vance;Meredith Droeger;Tom Vaughan
After fishing out coins from a water fountain in Italy, cynical New Yorker Beth Harper finds herself being wooed by several ardent suitors. As she deals with the attention, Beth tries to figure out whether a charming reporter really loves her.;9.191;/pteIGpJpgh2aUh3jMqZnomB1rw1.jpg;6.027;1073.0;13477.0;74154.0;When in Rome;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13477.0;Josh Duhamel;Kristen Bell;Anjelica Huston;Will Arnett;Jon Heder;Mark Steven Johnson
As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.;9.654;/pvHjp1vEFmp5FquSCPQ2O95tIZJ.jpg;6.281;1253.0;12201.0;74156.0;Edge of Darkness;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12201.0;Mel Gibson;Ray Winstone;Danny Huston;Bojana Novaković;Shawn Roberts;Martin Campbell
More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to.;21.219;/qOTcfD2DdnOTmhH0r1TOE09VvNh.jpg;5.896;2743.0;32856.0;74450.0;Valentine's Day;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32856.0;Julia Roberts;Bradley Cooper;Anne Hathaway;Taylor Swift;Patrick Dempsey;Garry Marshall
Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.;41.602;/cdzkHnXhPbBBBAPLKDXFCy3oHVD.jpg;5.824;1675.0;7978.0;74452.0;Wolfman, The;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7978.0;Benicio del Toro;Anthony Hopkins;Emily Blunt;Hugo Weaving;Cristina Contes;Joe Johnston
World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.;62.077;/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg;8.19;20554.0;11324.0;74458.0;Shutter Island;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11324.0;Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley;Michelle Williams;Max von Sydow;Martin Scorsese
Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.;151.075;/vayx5t1cYCpBGV9ylTGn0Sr9rA2.jpg;6.201;6533.0;32657.0;74530.0;Percy Jackson & the Olympians: The Lightning Thief;2010;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32657.0;Logan Lerman;Brandon T. Jackson;Alexandra Daddario;Jake Abel;Pierce Brosnan;Chris Columbus
Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.;16.537;/qA31i7FPVDHezuoevx3497CvZd4.jpg;5.566;1287.0;23742.0;74532.0;Cop Out;2010;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23742.0;Bruce Willis;Tracy Morgan;Seann William Scott;Ana de la Reguera;Adam Brody;Kevin Smith
A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.;13.027;/rK7m2Ba0ieXa37NaAmrx4dfRvvM.jpg;6.818;1841.0;11439.0;74545.0;Ghost Writer, The;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11439.0;Ewan McGregor;Pierce Brosnan;Kim Cattrall;Olivia Williams;Tom Wilkinson;Roman Polanski
Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau. And when one of the youngsters accidentally downloads a top-secret formula, Bob's longtime nemesis, a Russian terrorist, pays a visit to the family.;41.054;/nJJrceb2xHGIA0irADX0JvWSIHT.jpg;5.85;1096.0;23172.0;74580.0;Spy Next Door, The;2010;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23172.0;Jackie Chan;Amber Valletta;Madeline Carroll;Alina Foley;Magnús Scheving;Brian Levant
Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.;29.237;/ggtG9DZELyTtM2Y0DRJDOJa5iP8.jpg;6.216;1699.0;29427.0;74685.0;Crazies, The;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29427.0;Timothy Olyphant;Radha Mitchell;Danielle Panabaker;Joe Reegan;Glenn Morshower;Breck Eisner
While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.;17.381;/2lAPv2jQ5eh54l4EttA9wjDljED.jpg;6.846;3762.0;22971.0;74688.0;Dear John;2010;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;22971.0;Amanda Seyfried;Channing Tatum;Richard Jenkins;Henry Thomas;D.J. Cotrona;Lasse Hallström
When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.;50.709;/cRZvw3bPomtucIUtMHZ3qPIYtYs.jpg;5.481;1735.0;23023.0;74698.0;Tooth Fairy;2010;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23023.0;Dwayne Johnson;Stephen Merchant;Ashley Judd;Julie Andrews;Ryan Sheckler;Michael Lembeck
Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.;31.41;/5Y36lCiNyyV71mjq6LavgiggbhT.jpg;8.042;1064.0;26022.0;74787.0;My Name is Khan;2010;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26022.0;Shah Rukh Khan;Kajol;Jimmy Shergill;Zarina Wahab;Adarsh Gourav;Karan Johar
Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.;97.193;/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg;6.613;12436.0;12155.0;74789.0;Alice in Wonderland;2010;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;12155.0;Mia Wasikowska;Johnny Depp;Anne Hathaway;Helena Bonham Carter;Crispin Glover;Tim Burton
During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.;19.5;/b65rs7JliENfueAFCUekrFJKUO.jpg;6.452;1880.0;22972.0;74795.0;Green Zone;2010;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;22972.0;Matt Damon;Greg Kinnear;Brendan Gleeson;Amy Ryan;Khalid Abdalla;Paul Greengrass
James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.;34.457;/poVoLKLxUqsTLSntA40Po2F78dZ.jpg;6.246;1683.0;26389.0;74851.0;From Paris with Love;2010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26389.0;John Travolta;Jonathan Rhys Meyers;Kasia Smutniak;Richard Durden;Bing Yin;Pierre Morel
A New Yorker moves to Los Angeles in order to figure out his life while he housesits for his brother, and he soon sparks with his brother's assistant.;17.188;/jAsN4vPpycVxC89QlA6NYBXRuK7.jpg;5.878;439.0;27583.0;74916.0;Greenberg;2010;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27583.0;Ben Stiller;Greta Gerwig;Rhys Ifans;Jennifer Jason Leigh;Merritt Wever;Noah Baumbach
